,HGNC,name
427,HGNC:48602,lnc-ZDBF2-2
428,HGNC:41163,lnc-WDR26-2
429,HGNC:41162,lnc-WDR26-1
430,HGNC:54176,lnc-SLC44A3-1
431,HGNC:53592,CNNM3-DT
432,HGNC:41031,CNOT10-AS1
433,HGNC:55480,lnc-IL23A-6
434,HGNC:48712,CNTFR-AS1
435,HGNC:39985,CNTN4-AS1
436,HGNC:39986,CNTN4-AS2
437,HGNC:40657,lnc-EZH2-4
438,HGNC:55794,lnc-NIFK-6
439,HGNC:40825,lnc-TARBP1-1
440,HGNC:40156,COL4A2-AS1
441,HGNC:39849,lnc-RAB20-4
442,HGNC:31368,COL5A1-AS1
443,HGNC:55814,lnc-FTCD-1
444,HGNC:23132,COL18A1-AS1
445,HGNC:40155,COL18A1-AS2
446,HGNC:32963,lnc-SEC24B-1
447,HGNC:33789,lnc-POU2AF1-1
448,HGNC:51196,LINC01510
449,HGNC:55666,lnc-PAPPA2-1
450,HGNC:55579,lnc-MRPS22-1
451,HGNC:53171,lnc-BRF1-9
452,HGNC:55816,lnc-COL6A3-14
453,HGNC:55362,lnc-SMG1-5
454,HGNC:55367,lnc-BOLA2B-1
455,HGNC:51610,lnc-SLC39A6-1
456,HGNC:38873,COX10-AS1
457,HGNC:39898,CPB2-AS1
458,HGNC:27523,CPEB1-AS1
459,HGNC:49082,CPEB2-DT
460,HGNC:55992,lnc-MN1-2
461,HGNC:55398,lnc-FAM192A-1
462,HGNC:53937,CPNE8-AS1
463,HGNC:30102,CPS1-IT1
464,HGNC:40685,lnc-CHN2-1
465,HGNC:56138,lnc-CREB5-2
466,HGNC:40160,lnc-CD34-22
467,HGNC:56184,lnc-UBE2N-3
468,HGNC:41030,lnc-AKR1D1-2
469,HGNC:54057,lnc-FEZ2-7
470,HGNC:26393,MIR1-1HG-AS1
471,HGNC:37078,lnc-IRX3-80
472,HGNC:48962,ISPD-AS1
473,HGNC:51433,CRTC3-AS1
474,HGNC:51232,CSE1L-AS1
475,HGNC:55174,lnc-RASGEF1A-2
476,HGNC:40882,CSMD2-AS1
477,HGNC:28604,CSNK1G2-AS1
478,HGNC:55856,lnc-NAV1-9
479,HGNC:27882,CSTF3-DT
480,HGNC:54198,lnc-CALN1-1
