,HSAL,name
312,HSALNG0003650,lnc-ECHDC2-1
313,HSALNG0003665,lnc-SLC1A7-1
314,HSALNG0003677,lnc-C1orf123-1
315,HSALNG0003680,lnc-CPT2-2
316,HSALNG0003681,lnc-CPT2-3
317,HSALNG0003685,lnc-CPT2-4
318,HSALNG0003691,lnc-CPT2-6
319,HSALNG0003694,LINC01771
320,HSALNG0003695,lnc-LRP8-3
321,HSALNG0141766,SSBP3-AS1
322,HSALNG0003757,lnc-MRPL37-1
323,HSALNG0003759,lnc-ACOT11-2
324,HSALNG0003763,lnc-FAM151A-2
325,HSALNG0003777,lnc-FAM151A-1
326,HSALNG0003796,lnc-LEXM-1
327,HSALNG0003811,lnc-USP24-3
328,HSALNG0003812,lnc-USP24-1
329,HSALNG0003824,MIR4422HG
330,HSALNG0003830,lnc-PCSK9-4
331,HSALNG0003848,LINC01753
332,HSALNG0003852,lnc-PLPP3-12
333,HSALNG0003859,lnc-PRKAA2-3
334,HSALNG0003877,LINC01767
335,HSALNG0003898,lnc-FYB2-1
336,HSALNG0003900,lnc-C8A-1
337,HSALNG0003904,lnc-C8A-3
338,HSALNG0003913,DAB1-AS1
339,HSALNG0003917,lnc-C8A-6
340,HSALNG0003933,lnc-FGGY-6
341,HSALNG0003956,LINC01135
342,HSALNG0003957,lnc-JUN-7
343,HSALNG0003960,lnc-JUN-2
344,HSALNG0003964,LINC01358
345,HSALNG0003965,lnc-JUN-3
346,HSALNG0003969,lnc-JUN-5
347,HSALNG0003977,lnc-CYP2J2-1
348,HSALNG0003993,lnc-HOOK1-2
349,HSALNG0004004,LINC01748
350,HSALNG0004009,LINC01748
351,HSALNG0004023,NFIA-AS1
352,HSALNG0004027,lnc-NFIA-12
353,HSALNG0004044,lnc-TM2D1-4
354,HSALNG0004080,lnc-ATG4C-2
355,HSALNG0004086,lnc-ATG4C-1
356,HSALNG0004095,LINC01739
357,HSALNG0004098,lnc-ATG4C-3
358,HSALNG0004104,lnc-FOXD3-3
359,HSALNG0004105,LINC00466
360,HSALNG0004107,lnc-FOXD3-1
361,HSALNG0004109,FOXD3-AS1
362,HSALNG0141784,lnc-PGM1-1
363,HSALNG0004143,ROR1-AS1
364,HSALNG0004146,lnc-ROR1-1
365,HSALNG0004173,LINC01359
366,HSALNG0004174,lnc-JAK1-4
367,HSALNG0004197,lnc-JAK1-3
368,HSALNG0004203,lnc-LEPROT-1
369,HSALNG0004209,lnc-LEPR-14
370,HSALNG0004214,lnc-INSL5-5
371,HSALNG0004264,lnc-SLC35D1-1
372,HSALNG0004287,LINC01702
373,HSALNG0004297,lnc-GADD45A-9
374,HSALNG0004322,DEPDC1-AS1
375,HSALNG0141790,lnc-LRRC7-21
376,HSALNG0004329,lnc-LRRC7-20
377,HSALNG0004340,lnc-LRRC7-19
378,HSALNG0004342,lnc-DEPDC1-2
379,HSALNG0004343,LINC01707
380,HSALNG0004345,LINC01758
381,HSALNG0004356,lnc-LRRC40-2
382,HSALNG0004364,lnc-LRRC40-1
383,HSALNG0004374,lnc-ANKRD13C-1
384,HSALNG0004379,lnc-CTH-8
385,HSALNG0004394,LINC01788
386,HSALNG0004395,lnc-PTGER3-1
387,HSALNG0004399,lnc-CTH-3
388,HSALNG0004407,lnc-ZRANB2-3
389,HSALNG0004412,ZRANB2-AS2
390,HSALNG0004417,NEGR1-IT1
391,HSALNG0004425,lnc-NEGR1-1
392,HSALNG0004443,lnc-FPGT-5
393,HSALNG0004465,LINC01360
394,HSALNG0004475,LINC02238
395,HSALNG0004492,lnc-LRRC53-1
396,HSALNG0004494,lnc-FPGT-1
397,HSALNG0004497,ERICH3-AS1
398,HSALNG0004501,lnc-CRYZ-1
399,HSALNG0004517,lnc-SLC44A5-3
400,HSALNG0004510,lnc-LHX8-1
401,HSALNG0004541,lnc-MSH4-1
402,HSALNG0004551,lnc-ST6GALNAC3-3
403,HSALNG0004554,LINC02567
404,HSALNG0004560,lnc-ST6GALNAC5-1
405,HSALNG0004596,NEXN-AS1
406,HSALNG0004601,lnc-FUBP1-3
407,HSALNG0004622,lnc-PTGFR-1
408,HSALNG0004660,lnc-IFI44-1
409,HSALNG0141801,lnc-IFI44-12
410,HSALNG0142227,lnc-ADGRL4-27
411,HSALNG0004681,lnc-ADGRL2-3
412,HSALNG0004691,lnc-ADGRL4-7
413,HSALNG0004694,LINC01781
414,HSALNG0004710,lnc-PRKACB-4
415,HSALNG0004711,lnc-TTLL7-8
416,HSALNG0004713,lnc-TTLL7-7
417,HSALNG0004732,lnc-TTLL7-6
418,HSALNG0004748,LINC01362
419,HSALNG0004750,LINC01361
420,HSALNG0004751,LINC01725
421,HSALNG0004765,LINC01712
422,HSALNG0004778,lnc-PRKACB-1
423,HSALNG0004786,TTLL7-IT1
424,HSALNG0004792,lnc-TTLL7-3
425,HSALNG0004791,lnc-PRKACB-8
426,HSALNG0141804,lnc-RPF1-3
427,HSALNG0004813,lnc-SPATA1-2
428,HSALNG0141805,lnc-SPATA1-7
429,HSALNG0004819,LINC01555
430,HSALNG0141806,lnc-WDR63-11
431,HSALNG0004863,lnc-CYR61-3
432,HSALNG0004869,lnc-CYR61-4
433,HSALNG0004870,lnc-ZNHIT6-1
434,HSALNG0004871,lnc-DDAH1-1
435,HSALNG0004876,lnc-CYR61-1
436,HSALNG0004894,lnc-ODF2L-32
437,HSALNG0004920,lnc-SELENOF-2
438,HSALNG0004937,lnc-SELENOF-25
439,HSALNG0004942,lnc-SELENOF-7
440,HSALNG0004949,LINC01140
441,HSALNG0004954,lnc-LMO4-2
442,HSALNG0004963,LINC01364
443,HSALNG0004980,lnc-GTF2B-15
444,HSALNG0005074,LRRC8C-DT
445,HSALNG0005079,lnc-LRRC8C-1
446,HSALNG0005090,lnc-LRRC8C-14
447,HSALNG0005094,lnc-GBP5-11
448,HSALNG0005096,lnc-LRRC8D-4
449,HSALNG0005111,lnc-BARHL2-1
450,HSALNG0005134,lnc-ZNF644-1
451,HSALNG0005135,LINC01763
452,HSALNG0005137,lnc-ZNF644-2
453,HSALNG0005192,lnc-BTBD8-1
454,HSALNG0005250,CCDC18-AS1
455,HSALNG0005269,lnc-FNBP1L-7
456,HSALNG0005285,lnc-FNBP1L-2
457,HSALNG0005315,lnc-ABCD3-4
458,HSALNG0005322,lnc-ABCD3-2
459,HSALNG0005323,lnc-ARHGAP29-1
460,HSALNG0005333,lnc-F3-1
461,HSALNG0005345,lnc-SLC44A3-1
462,HSALNG0005351,lnc-TMEM56-2
463,HSALNG0005355,lnc-RWDD3-3
464,HSALNG0005358,lnc-ALG14-1
465,HSALNG0005360,lnc-ALG14-2
466,HSALNG0005364,LINC01761
467,HSALNG0005365,LINC01760
468,HSALNG0005367,LINC01650
469,HSALNG0005368,lnc-ALG14-5
470,HSALNG0005384,lnc-RWDD3-7
471,HSALNG0005391,LINC01787
472,HSALNG0005418,DPYD-AS1
473,HSALNG0005422,DPYD-IT1
474,HSALNG0005428,DPYD-AS2
475,HSALNG0005432,MIR137HG
476,HSALNG0005434,lnc-PLPPR5-3
477,HSALNG0005443,LINC01776
478,HSALNG0005471,LINC01708
479,HSALNG0005493,lnc-SASS6-2
480,HSALNG0005501,lnc-SASS6-1
481,HSALNG0005524,RTCA-AS1
482,HSALNG0005530,lnc-CDC14A-1
483,HSALNG0005540,LINC01349
484,HSALNG0005551,lnc-SLC30A7-3
485,HSALNG0005559,lnc-SLC30A7-1
486,HSALNG0005565,lnc-SLC30A7-2
487,HSALNG0005575,lnc-DPH5-1
488,HSALNG0005582,LINC01307
489,HSALNG0005590,LINC01709
490,HSALNG0005599,lnc-OLFM3-1
491,HSALNG0005612,lnc-COL11A1-1
492,HSALNG0141825,lnc-RNPC3-1
493,HSALNG0005631,lnc-AMY1B-1
494,HSALNG0005693,LINC01676
495,HSALNG0005713,LINC01677
496,HSALNG0005714,lnc-PRMT6-3
497,HSALNG0005757,LINC01661
498,HSALNG0005787,VAV3-AS1
499,HSALNG0005801,lnc-NBPF4-1
500,HSALNG0005805,lnc-NBPF6-1
501,HSALNG0005830,lnc-HENMT1-1
502,HSALNG0005835,SPATA42
503,HSALNG0005853,lnc-TAF13-2
504,HSALNG0005856,lnc-TMEM167B-1
505,HSALNG0005897,lnc-AMIGO1-2
506,HSALNG0005901,lnc-AMPD2-1
507,HSALNG0142257,lnc-GNAT2-1
508,HSALNG0005917,lnc-GSTM3-1
509,HSALNG0005928,LINC01768
510,HSALNG0005932,lnc-EPS8L3-1
511,HSALNG0005933,lnc-CSF1-1
512,HSALNG0005949,LINC01397
513,HSALNG0005960,lnc-ALX3-2
514,HSALNG0005961,LINC02586
515,HSALNG0005967,RBM15-AS1
516,HSALNG0005973,LAMTOR5-AS1
517,HSALNG0005977,lnc-RBM15-3
518,HSALNG0005980,lnc-LAMTOR5-3
519,HSALNG0005982,lnc-PROK1-2
520,HSALNG0005984,CYMP-AS1
521,HSALNG0005995,lnc-KCNA3-3
522,HSALNG0142263,lnc-LRIF1-1
523,HSALNG0006023,lnc-DENND2D-1
524,HSALNG0006032,lnc-OVGP1-2
525,HSALNG0006047,lnc-OVGP1-1
526,HSALNG0006050,lnc-WDR77-1
527,HSALNG0006063,LINC01160
528,HSALNG0006073,INKA2-AS1
529,HSALNG0142266,lnc-FAM212B-5
530,HSALNG0142267,lnc-FAM212B-5
531,HSALNG0006077,KCND3-IT1
532,HSALNG0006080,KCND3-AS1
533,HSALNG0006084,LINC01750
534,HSALNG0006094,lnc-ST7L-2
535,HSALNG0142268,lnc-ST7L-4
536,HSALNG0006128,lnc-RHOC-1
537,HSALNG0006131,lnc-FAM19A3-1
538,HSALNG0006139,LINC01356
539,HSALNG0006141,lnc-FAM19A3-2
540,HSALNG0006150,SLC16A1-AS1
541,HSALNG0006197,lnc-DCLRE1B-12
542,HSALNG0006203,HIPK1-AS1
543,HSALNG0006209,lnc-OLFML3-2
544,HSALNG0006213,lnc-SYT6-3
545,HSALNG0006259,LINC01765
546,HSALNG0006265,NGF-AS1
547,HSALNG0006294,LINC01649
548,HSALNG0006300,lnc-NHLH2-2
549,HSALNG0006313,LINC01779
550,HSALNG0006325,ATP1A1-AS1
551,HSALNG0006329,lnc-CD58-2
552,HSALNG0141843,lnc-CD2-2
553,HSALNG0006358,lnc-TRIM45-2
554,HSALNG0006360,lnc-TRIM45-1
555,HSALNG0006378,LINC01525
556,HSALNG0006382,lnc-VTCN1-3
557,HSALNG0006392,lnc-GDAP2-1
558,HSALNG0006457,lnc-TBX15-1
559,HSALNG0006463,WARS2-IT1
560,HSALNG0006466,lnc-HAO2-2
561,HSALNG0006468,lnc-WARS2-2
562,HSALNG0006483,LINC01780
563,HSALNG0006487,HAO2-IT1
564,HSALNG0006500,LINC00622
565,HSALNG0006528,lnc-PHGDH-9
566,HSALNG0141865,LINC00623
567,HSALNG0142288,lnc-FAM72B-18
568,HSALNG0142289,lnc-FAM72B-17
569,HSALNG0006553,SRGAP2-AS1
570,HSALNG0006556,lnc-SRGAP2C-5
571,HSALNG0006561,lnc-FAM72B-4
572,HSALNG0006563,lnc-FAM72B-8
573,HSALNG0006566,LINC01691
574,HSALNG0006909,lnc-PPIAL4E-9
575,HSALNG0142298,lnc-HIST2H3PS2-13
576,HSALNG0006937,LINC02591
577,HSALNG0142302,lnc-PPIAL4E-9
578,HSALNG0006893,lnc-NBPF15-1
579,HSALNG0142305,LINC01632
580,HSALNG0006637,lnc-PPIAL4F-1
581,HSALNG0141888,lnc-FAM72D-61
582,HSALNG0142315,lnc-NBPF20-21
583,HSALNG0006706,LIX1L-AS1
584,HSALNG0006691,LINC01719
585,HSALNG0006678,lnc-POLR3GL-48
586,HSALNG0006776,lnc-PRKAB2-2
587,HSALNG0006796,lnc-CHD1L-5
588,HSALNG0006799,LINC00624
589,HSALNG0006825,lnc-BCL9-1
590,HSALNG0006827,lnc-GJA8-1
591,HSALNG0006845,lnc-GPR89B-8
592,HSALNG0006851,lnc-GPR89B-3
593,HSALNG0006750,lnc-NBPF11-1
594,HSALNG0006856,LINC01731
595,HSALNG0006857,lnc-GPR89B-5
596,HSALNG0142330,LINC01138
597,HSALNG0142333,lnc-PPIAL4G-54
598,HSALNG0006666,lnc-NBPF19-5
599,HSALNG0006657,lnc-NBPF9-2
600,HSALNG0006655,lnc-NBPF9-6
601,HSALNG0006652,lnc-PDE4DIP-1
602,HSALNG0141909,lnc-PDE4DIP-6
